price,reviews_per_month,accommodates,bathrooms,bedrooms,beds,property_type,room_type,neighbourhood,minimum_nights
100,2.68,2,2.5,1,1,House,Private room,Dorchester,1
213,0.08,3,1,1,2,Other,Entire home/apt,Fenway,29
293,0.05,5,2,2,3,Other,Entire home/apt,West End,91
312,0.08,5,2,2,3,Other,Entire home/apt,West End,29
217,0.08,3,1,1,2,Other,Entire home/apt,West End,91
195,1.68,3,1,1,1,Apartment,Entire home/apt,Downtown,10
130,6.53,4,1,1,1,Apartment,Entire home/apt,Jamaica Plain,1
85,3.32,2,1.5,1,2,House,Private room,Jamaica Plain,1
70,3.81,3,1.5,1,2,House,Private room,Jamaica Plain,1
230,0.02,4,1.5,2,2,Apartment,Entire home/apt,Beacon Hill,91
125,0.92,2,1,1,1,Apartment,Private room,South Boston,2
110,3.04,2,1,1,2,House,Private room,Beacon Hill,1
76,0.08,1,1,1,1,Apartment,Private room,Dorchester,91
135,1.95,2,1,1,1,House,Private room,Beacon Hill,1
70,2.03,2,2.5,1,1,House,Private room,Dorchester,91
120,0.49,2,1,1,1,Apartment,Private room,Jamaica Plain,91
70,3.16,2,1,1,2,House,Private room,Brighton,3
500,0.18,6,2,2,4,Other,Entire home/apt,South Boston,1
200,1.75,3,1,1,1,Other,Private room,South Boston,1
350,2.56,4,2,2,3,Apartment,Entire home/apt,South Boston,2
150,0.44,2,1,0,1,Apartment,Entire home/apt,Back Bay,91
165,1.42,2,1,0,1,Apartment,Entire home/apt,Beacon Hill,5
300,0.09,6,1,2,2,Apartment,Entire home/apt,Downtown,91
195,2.28,4,1,1,1,Apartment,Entire home/apt,North End,91
125,0.76,3,1,1,2,Apartment,Entire home/apt,Allston,30
140,0.4,2,1,1,1,Apartment,Entire home/apt,South End,5
112,2.52,2,1,1,1,Apartment,Private room,Jamaica Plain,2
230,0.17,8,3.5,3,6,House,Entire home/apt,Jamaica Plain,2
425,2.31,5,2,2,2,Apartment,Entire home/apt,Back Bay,2
57,1.96,2,1,1,1,House,Private room,Mattapan,1
175,1.02,4,1,1,1,Apartment,Entire home/apt,South End,28
135,1.78,2,1,1,2,Other,Entire home/apt,Jamaica Plain,2
